effects,name,pageUrl
Happy; Euphoric; Hungry; Uplifted; Talkative,Blue Champagne,https://www.leafly.com/hybrid/blue-champange
Relaxed; Euphoric; Happy; Sleepy; Uplifted,Blue Cookies,https://www.leafly.com/hybrid/blue-cookies
Happy; Uplifted; Relaxed; Energetic; Euphoric,Blue Crack,https://www.leafly.com/hybrid/blue-crack
Relaxed; Uplifted; Happy; Euphoric; Energetic,Blue Diesel,https://www.leafly.com/hybrid/blue-diesel
Happy; Euphoric; Uplifted; Relaxed; Creative,Blue Dragon,https://www.leafly.com/hybrid/blue-dragon
Happy; Relaxed; Uplifted; Euphoric; Creative,Blue Dream,https://www.leafly.com/hybrid/blue-dream
Relaxed; Euphoric; Happy; Uplifted; Giggly,Blue Frost,https://www.leafly.com/hybrid/blue-frost
Happy; Relaxed; Focused; Uplifted; Euphoric,Blue Goo,https://www.leafly.com/hybrid/blue-goo
Relaxed; Euphoric; Happy; Sleepy; Giggly,Blue Hash,https://www.leafly.com/hybrid/blue-hash
Happy; Relaxed; Uplifted; Focused; Euphoric,Blue Hawaiian,https://www.leafly.com/hybrid/blue-hawaiian
Happy; Relaxed; Uplifted; Focused; Euphoric,Blue Haze,https://www.leafly.com/hybrid/blue-haze
Relaxed; Hungry; Sleepy,Blue Heron,https://www.leafly.com/hybrid/blue-heron
Happy; Relaxed; Giggly; Energetic; Euphoric,Blue Ivy,https://www.leafly.com/hybrid/blue-ivy
Happy; Relaxed; Euphoric; Creative; Uplifted,Blue Kush,https://www.leafly.com/hybrid/blue-kush
Relaxed; Happy; Euphoric; Uplifted; Sleepy,Blue Magoo,https://www.leafly.com/hybrid/blue-magoo
Euphoric; Relaxed; Happy; Uplifted; Sleepy,Blue Moon Rocks,https://www.leafly.com/hybrid/blue-moon-rocks
Happy; Relaxed; Creative; Euphoric; Giggly,Blue Nightmare,https://www.leafly.com/hybrid/blue-nightmare
Relaxed; Uplifted; Happy; Euphoric; Creative,Blue OG,https://www.leafly.com/hybrid/blue-og
Euphoric; Happy; Tingly; Focused; Talkative,Blue Persuasion,https://www.leafly.com/hybrid/blue-persuasion
Relaxed; Happy; Sleepy; Euphoric; Uplifted,Blue Rhino,https://www.leafly.com/hybrid/blue-rhino
Giggly; Happy; Hungry; Relaxed; Aroused,Blue Sky,https://www.leafly.com/hybrid/blue-sky
Relaxed; Dry Mouth; Focused; Giggly; Happy,Blue Thai,https://www.leafly.com/hybrid/blue-thai
Euphoric; Uplifted; Happy; Relaxed; Hungry,Blue Trainwreck,https://www.leafly.com/hybrid/blue-train
Happy; Tingly; Uplifted,Blue Treat,https://www.leafly.com/hybrid/blue-treat
Creative; Dry Mouth; Euphoric; Happy; Relaxed,Blue Velvet,https://www.leafly.com/hybrid/blue-velvet
Relaxed; Euphoric; Happy; Giggly; Uplifted,Blue Venom,https://www.leafly.com/hybrid/blue-venom
Happy; Relaxed; Euphoric; Uplifted; Hungry,Blue Widow,https://www.leafly.com/hybrid/blue-widow
Happy; Relaxed; Euphoric; Uplifted; Hungry,Blue Wreck,https://www.leafly.com/hybrid/blue-wreck
Relaxed; Creative; Happy; Euphoric; Uplifted,Blueberry Cheesecake,https://www.leafly.com/hybrid/blueberry-cheesecake
Relaxed; Happy; Euphoric; Uplifted; Giggly,Blueberry Diesel,https://www.leafly.com/hybrid/blueberry-diesel
Relaxed; Uplifted; Happy; Euphoric; Sleepy,Blueberry Essence,https://www.leafly.com/hybrid/blueberry-essence
Euphoric; Happy; Uplifted; Relaxed; Creative,Blueberry Haze,https://www.leafly.com/hybrid/blueberry-haze
Happy; Uplifted; Relaxed; Euphoric; Creative,Blueberry Headband,https://www.leafly.com/hybrid/blueberry-headband
Hungry; Anxious; Happy; Euphoric; Relaxed,Blueberry Jack,https://www.leafly.com/hybrid/blueberry-jack
Euphoric; Relaxed; Uplifted; Aroused; Creative,Blueberry Lambsbread,https://www.leafly.com/hybrid/blueberry-lambsbread
Happy; Relaxed; Euphoric; Uplifted; Creative,Blueberry Silvertip,https://www.leafly.com/hybrid/blueberry-silvertip
Happy; Relaxed; Euphoric; Giggly; Uplifted,Blueberry Yum Yum,https://www.leafly.com/hybrid/blueberry-yum-yum
Relaxed; Giggly; Hungry; Sleepy; Euphoric,Blues,https://www.leafly.com/hybrid/blues
,Blukashima,https://www.leafly.com/hybrid/blukashima
Creative; Focused; Happy; Relaxed,Bluniverse,https://www.leafly.com/hybrid/bluniverse
Happy; Dry Mouth; Relaxed; Sleepy; Dizzy,Blurple,https://www.leafly.com/hybrid/blurple
Happy; Talkative; Giggly; Sleepy; Uplifted,Bogart,https://www.leafly.com/hybrid/bogart
Creative; Happy; Uplifted; Euphoric; Energetic,Boggle Gum,https://www.leafly.com/hybrid/boggle-gum
Energetic; Talkative; Relaxed; Focused; Aroused,Booger,https://www.leafly.com/hybrid/booger
Relaxed; Euphoric; Happy; Uplifted; Tingly,Bordello,https://www.leafly.com/hybrid/bordello
Happy; Euphoric; Hungry; Relaxed; Talkative,Boss Hogg,https://www.leafly.com/hybrid/boss-hogg
Euphoric; Uplifted; Giggly; Happy; Energetic,Boysenberry,https://www.leafly.com/hybrid/boysenberry
Euphoric; Dizzy; Dry Mouth; Energetic; Relaxed,Brian Berry Cough,https://www.leafly.com/hybrid/brian-berry-cough
Euphoric; Uplifted; Creative; Energetic; Happy,Broke Diesel,https://www.leafly.com/hybrid/broke-diesel
Aroused; Giggly; Happy; Talkative; Relaxed,Brooklyn Mango,https://www.leafly.com/hybrid/brooklyn-mango
Euphoric; Happy; Uplifted; Relaxed; Creative,Bruce Banner,https://www.leafly.com/hybrid/bruce-banner
Euphoric; Relaxed; Happy; Uplifted; Creative,Bruce Banner #3,https://www.leafly.com/hybrid/bruce-banner-3
