negatives,name,pageUrl
Dry Mouth; Dizzy; Headache; Dry Eyes; Paranoid,Blueberry Yum Yum,https://www.leafly.com/hybrid/blueberry-yum-yum
,Blues,https://www.leafly.com/hybrid/blues
,Blukashima,https://www.leafly.com/hybrid/blukashima
,Bluniverse,https://www.leafly.com/hybrid/bluniverse
Dry Mouth,Blurple,https://www.leafly.com/hybrid/blurple
,Bogart,https://www.leafly.com/hybrid/bogart
Dry Mouth; Dry Eyes; Dizzy; Paranoid; Headache,Boggle Gum,https://www.leafly.com/hybrid/boggle-gum
Dry Mouth,Booger,https://www.leafly.com/hybrid/booger
Dry Mouth; Dizzy; Dry Eyes; Anxious; Paranoid,Bordello,https://www.leafly.com/hybrid/bordello
,Boss Hogg,https://www.leafly.com/hybrid/boss-hogg
Dry Eyes; Dry Mouth; Paranoid; Headache; Dizzy,Boysenberry,https://www.leafly.com/hybrid/boysenberry
,Brian Berry Cough,https://www.leafly.com/hybrid/brian-berry-cough
Dry Eyes; Headache,Broke Diesel,https://www.leafly.com/hybrid/broke-diesel
Anxious; Dizzy; Dry Eyes; Dry Mouth,Brooklyn Mango,https://www.leafly.com/hybrid/brooklyn-mango
Dry Mouth; Dry Eyes; Dizzy; Anxious; Paranoid,Bruce Banner,https://www.leafly.com/hybrid/bruce-banner
Dry Mouth; Dry Eyes; Headache; Dizzy,Bruce Banner #3,https://www.leafly.com/hybrid/bruce-banner-3
,Bubba Tom Hayes,https://www.leafly.com/hybrid/bubba-tom-hayes
Dry Mouth; Dry Eyes; Anxious; Paranoid; Dizzy,Bubble Gum,https://www.leafly.com/hybrid/bubble-gum
Dry Mouth; Dry Eyes; Dizzy; Paranoid; Headache,Bubbleberry,https://www.leafly.com/hybrid/bubbleberry
Dry Mouth; Dry Eyes; Headache; Paranoid; Dizzy,Bubblegun,https://www.leafly.com/hybrid/bubblegun
Dry Mouth; Dizzy; Dry Eyes,Bubblicious,https://www.leafly.com/hybrid/bubblicious
Dry Mouth,Buddha's Hand,https://www.leafly.com/hybrid/buddhas-hand
Anxious; Dry Eyes; Dry Mouth; Paranoid,Bugatti OG,https://www.leafly.com/hybrid/bugatti-og
Dry Eyes; Dry Mouth; Headache; Dizzy; Paranoid,Burmese Kush,https://www.leafly.com/hybrid/burmese-kush
Dry Mouth,C3PO,https://www.leafly.com/hybrid/c3po
Dry Mouth; Headache; Dry Eyes; Dizzy,C4,https://www.leafly.com/hybrid/c4
,CBD Kush,https://www.leafly.com/hybrid/cbd-kush
,Cabbage Patch,https://www.leafly.com/hybrid/cabbage-patch
,Cactus Cooler,https://www.leafly.com/hybrid/cactus-cooler
Anxious; Paranoid; Dry Eyes; Dry Mouth,Cali Gold,https://www.leafly.com/hybrid/cali-gold
Dry Mouth; Dry Eyes; Headache; Paranoid; Anxious,Cali Kush,https://www.leafly.com/hybrid/cali-kush
Dry Mouth; Dry Eyes; Dizzy; Paranoid; Headache,California Orange,https://www.leafly.com/hybrid/california-orange
Dry Eyes,California Sour,https://www.leafly.com/hybrid/california-sour
Dry Eyes; Dry Mouth; Dizzy,Canna-Tsu,https://www.leafly.com/hybrid/canna-tsu
Dry Eyes; Dry Mouth; Headache; Dizzy; Anxious,Cannadential,https://www.leafly.com/hybrid/cannadential
Dry Mouth; Dizzy; Paranoid; Dry Eyes,Cannalope Kush,https://www.leafly.com/hybrid/cannalope-kush
Dry Mouth; Dry Eyes; Anxious; Dizzy; Paranoid,Cannatonic,https://www.leafly.com/hybrid/cannatonic
Dry Mouth,Caramel Candy Kush,https://www.leafly.com/hybrid/caramel-candy-kush
Dry Mouth; Dry Eyes; Dizzy; Headache; Paranoid,Caramelicious,https://www.leafly.com/hybrid/caramelicious
Dry Mouth; Dry Eyes,Carl Sagan,https://www.leafly.com/hybrid/carl-sagan
Dry Mouth; Dry Eyes; Dizzy; Paranoid; Anxious,Cataract Kush,https://www.leafly.com/hybrid/cataract-kush
Dry Mouth; Anxious; Dry Eyes; Dizzy; Headache,Champagne Kush,https://www.leafly.com/hybrid/champagne-kush
Dry Mouth; Dry Eyes; Dizzy; Anxious; Paranoid,Charlie Sheen,https://www.leafly.com/hybrid/charlie-sheen
Dry Mouth; Dry Eyes; Paranoid; Dizzy; Headache,Cheese,https://www.leafly.com/hybrid/cheese
Anxious; Dizzy; Paranoid; Dry Mouth,Cheese Candy,https://www.leafly.com/hybrid/cheese-candy
Dry Mouth; Dry Eyes; Headache; Paranoid; Anxious,Cheese Quake,https://www.leafly.com/hybrid/cheese-quake
Dry Mouth; Anxious; Paranoid; Dizzy,Cheesewreck,https://www.leafly.com/hybrid/cheesewreck
,Chem Crush,https://www.leafly.com/hybrid/chem-crush
Dizzy; Dry Mouth; Dry Eyes; Paranoid,Chem Valley Kush,https://www.leafly.com/hybrid/chem-valley-kush
,ChemWreck,https://www.leafly.com/hybrid/chemwreck
Dry Mouth; Dry Eyes; Dizzy; Headache; Paranoid,Chemdawg,https://www.leafly.com/hybrid/chemdawg
Dry Mouth; Dizzy; Dry Eyes; Paranoid; Anxious,Chemdawg 4,https://www.leafly.com/hybrid/chemdawg-4
Dry Mouth; Headache; Dry Eyes; Paranoid,Chemdawg 91,https://www.leafly.com/hybrid/chemdawg-91
Dry Mouth; Anxious; Dry Eyes,Chemdawg Sour Diesel,https://www.leafly.com/hybrid/chemdawg-sour-diesel
Dry Mouth; Dry Eyes,Chemmy Jones,https://www.leafly.com/hybrid/chemmy-jones
Dry Eyes; Dry Mouth; Paranoid; Dizzy; Headache,Chernobyl,https://www.leafly.com/hybrid/chernobyl
Dry Mouth; Dry Eyes; Paranoid; Headache; Dizzy,Cherry AK-47,https://www.leafly.com/hybrid/cherry-ak-47
Dry Mouth; Dry Eyes; Dizzy; Paranoid; Anxious,Cherry Bomb,https://www.leafly.com/hybrid/cherry-bomb
Dizzy,Cherry Diesel,https://www.leafly.com/hybrid/cherry-diesel
Dizzy; Dry Eyes; Dry Mouth; Headache,Cherry Durban Poison,https://www.leafly.com/hybrid/cherry-durban-poison
,Cherry Grapefruit,https://www.leafly.com/hybrid/cherry-grapefruit
Dry Mouth; Dry Eyes; Dizzy; Paranoid; Headache,Cherry Kush,https://www.leafly.com/hybrid/cherry-kush
Dry Mouth,Cherry Limeade,https://www.leafly.com/hybrid/cherry-limeade
Dry Mouth; Headache,Cherry OG,https://www.leafly.com/hybrid/cherry-og
Dry Mouth; Dry Eyes; Dizzy; Anxious; Paranoid,Cherry Pie,https://www.leafly.com/hybrid/cherry-pie
Dry Eyes; Dry Mouth; Dizzy,Cherry Skunk,https://www.leafly.com/hybrid/cherry-skunk
Dry Mouth; Dry Eyes; Paranoid; Headache; Dizzy,Chiesel,https://www.leafly.com/hybrid/chiesel
Dry Mouth; Dry Eyes; Paranoid; Dizzy; Headache,Chocolope Kush,https://www.leafly.com/hybrid/chocolate-kush
,Chong Star,https://www.leafly.com/hybrid/chong-star
Paranoid; Dry Mouth; Dry Eyes; Anxious; Dizzy,Chronic,https://www.leafly.com/hybrid/chronic
,Chucky's Bride,https://www.leafly.com/hybrid/chuckys-bride
Dry Mouth; Paranoid; Dizzy; Dry Eyes; Anxious,Cinderella 99,https://www.leafly.com/hybrid/cinderella-99
Dry Mouth; Dry Eyes,Cinderella's Dream,https://www.leafly.com/hybrid/cinderellas-dream
Dry Mouth,Cindy White,https://www.leafly.com/hybrid/cindy-white
Anxious; Dry Mouth,Citrix,https://www.leafly.com/hybrid/citrix
Dry Mouth; Paranoid; Dry Eyes; Anxious; Dizzy,Citrus Kush,https://www.leafly.com/hybrid/citrus-kush
,Cluster Bomb,https://www.leafly.com/hybrid/cluster-bomb
Dry Eyes; Dry Mouth; Headache,Cold Creek Kush,https://www.leafly.com/hybrid/cold-creek-kush
Dry Mouth,Colorado Chem,https://www.leafly.com/hybrid/colorado-chem
Dry Mouth; Dry Eyes; Dizzy,Connie Chung,https://www.leafly.com/hybrid/connie-chung
Dry Mouth; Dry Eyes; Anxious; Dizzy; Headache,Cookie Monster,https://www.leafly.com/hybrid/cookie-monster
Dry Eyes; Dry Mouth,Cookie Wreck,https://www.leafly.com/hybrid/cookie-wreck
Dry Eyes; Dry Mouth; Anxious,Cookies and Cream,https://www.leafly.com/hybrid/cookies-and-cream
Dry Mouth; Dry Eyes; Anxious; Dizzy; Paranoid,Cotton Candy Kush,https://www.leafly.com/hybrid/cotton-candy-kush
,Cotton Purple Chem,https://www.leafly.com/hybrid/cotton-purple-chem
Dry Mouth,Crater Lake,https://www.leafly.com/hybrid/crater-lake
,Crazy Miss Hyde,https://www.leafly.com/hybrid/crazy-miss-hyde
Dry Mouth; Dizzy,Crimea Blue,https://www.leafly.com/hybrid/crimea-blue
Dry Mouth; Dizzy; Dry Eyes,Critical 47,https://www.leafly.com/hybrid/critical-47
Dizzy; Dry Eyes; Dry Mouth; Paranoid; Anxious,Critical Bilbo,https://www.leafly.com/hybrid/critical-bilbo
Dry Mouth,Critical Cheese,https://www.leafly.com/hybrid/critical-cheese
Dry Eyes; Paranoid; Dry Mouth,Critical Haze,https://www.leafly.com/hybrid/critical-haze
Dry Mouth; Dry Eyes; Anxious; Dizzy; Headache,Critical Jack,https://www.leafly.com/hybrid/critical-jack
Paranoid; Dry Mouth; Dry Eyes; Headache; Anxious,Critical Plus,https://www.leafly.com/hybrid/critical-plus
,Critical Skunk,https://www.leafly.com/hybrid/critical-skunk
,Critical Widow,https://www.leafly.com/hybrid/critical-widow
Dry Mouth,Crunch Berry Kush,https://www.leafly.com/hybrid/crunch-berry-kush
Dry Eyes; Dry Mouth,Crypt,https://www.leafly.com/hybrid/crypt
Dry Mouth,Crystal Gayle,https://www.leafly.com/hybrid/crystal-gayle
Dry Mouth; Dry Eyes; Dizzy; Headache; Paranoid,Dairy Queen,https://www.leafly.com/hybrid/dairy-queen
,Damnesia,https://www.leafly.com/hybrid/damnesia
Dry Eyes; Dry Mouth; Paranoid,Dancehall,https://www.leafly.com/hybrid/dancehall
Dry Mouth; Dry Eyes,Dawg's Waltz,https://www.leafly.com/hybrid/dawgs-waltz
Dizzy; Dry Mouth,Day Tripper,https://www.leafly.com/hybrid/day-tripper
Dry Mouth; Dry Eyes; Paranoid; Anxious; Dizzy,Deadhead OG,https://www.leafly.com/hybrid/deadhead-og
Dry Eyes; Dry Mouth; Paranoid,Deep Cheese,https://www.leafly.com/hybrid/deep-cheese
,Desert Star,https://www.leafly.com/hybrid/desert-star
