effects,name,pageUrl
Effects Medical Dry Eyes Dry Mouth Euphoric Happy Hungry Lack of Appetite Muscle Spasms Pain Stress,Bhang Holy Grail,https://www.leafly.com/hybrid/bhang-holy-grail
Effects Medical Energetic Euphoric Creative Focused Happy Stress,Bhang J-1,https://www.leafly.com/hybrid/bhang-j-1
,Bhang Jack Frost,https://www.leafly.com/hybrid/bhang-jack-frost
Effects Relaxed Creative Energetic Euphoric Happy,Bhang Juicy Fruit,https://www.leafly.com/hybrid/bhang-juicy-fruit
,Bhang Lemon Diesel,https://www.leafly.com/hybrid/bhang-lemon-diesel
Effects Hungry Relaxed Uplifted,Bhang Lemon Skunk,https://www.leafly.com/hybrid/bhang-lemon-skunk
,Bhang OG Kush,https://www.leafly.com/hybrid/bhang-og-kush
Effects Medical Relaxed Uplifted Euphoric Tingly Creative Depression Lack of Appetite Nausea Pain Stress,Bhang Perfecto Hybrid,https://www.leafly.com/hybrid/bhang-perfecto-hybrid
Effects Medical Happy Relaxed Focused Giggly Hungry Depression Muscle Spasms Nausea Seizures Stress,Bhang Pineapple Express,https://www.leafly.com/hybrid/bhang-pineapple-express
Effects Medical Energetic Euphoric Giggly Happy Relaxed Depression Inflammation Insomnia Lack of Appetite Muscle Spasms,Bhang Pineapple Kush,https://www.leafly.com/hybrid/bhang-pineapple-kush
,Bhang Purple AK-47,https://www.leafly.com/hybrid/bhang-purple-ak-47
Effects Medical Relaxed Dry Mouth Euphoric Focused Happy Depression Lack of Appetite Stress,Bhang Purple Diesel,https://www.leafly.com/hybrid/bhang-purple-diesel
,Bhang SAGE,https://www.leafly.com/hybrid/bhang-sage
Effects Medical Dry Eyes Dry Mouth Euphoric Happy Hungry Fatigue,Bhang Skunk #1,https://www.leafly.com/hybrid/bhang-skunk-1
Effects Medical Aroused Creative Dry Mouth Energetic Euphoric Depression Inflammation Muscle Spasms Nausea Pain,Bhang Skywalker OG,https://www.leafly.com/hybrid/bhang-skywalker-og
Effects Euphoric Happy Uplifted Focused Hungry,Bhang Sour OG,https://www.leafly.com/hybrid/bhang-sour-og
